"row_num","treat","rep","inv_sp","res_sp","res_div","inv_t0","res_t0","inv_count","res_count","inv_m","res_m","rel_fit","res_sp2"
132,"22","f","o","av",2,26666.66667,2666666.667,7.2e+07,42666666.6666667,7.90100705186742,2.77258872211478,2.84968592306794,"Aa Vg"
133,"23","a","o","as",2,26666.66667,2666666.667,98666666.6666667,5.16e+08,8.21608809850732,5.26527751234484,1.5604283115646,"Aa Sr"
134,"23","b","o","as",2,26666.66667,2666666.667,114666666.666667,749333333.333333,8.36637030155665,5.63835466920875,1.4838318609586,"Aa Sr"
135,"23","c","o","as",2,26666.66667,2666666.667,122666666.666667,4.64e+08,8.43381158235219,5.15905529908953,1.63475890321249,"Aa Sr"
136,"23","d","o","as",2,26666.66667,2666666.667,50666666.6666667,429333333.333333,7.54960916502953,5.08140436485946,1.48573280592251,"Aa Sr"
137,"23","e","o","as",2,26666.66667,2666666.667,122666666.666667,378666666.666667,8.43381158235219,4.95582705747626,1.70179699261884,"Aa Sr"
138,"23","f","o","as",2,26666.66667,2666666.667,8.8e+07,589333333.333333,8.10167774732957,5.39816270139275,1.50082133412528,"Aa Sr"
139,"24","a","o","pv",2,26666.66667,2666666.667,4.4e+07,202666666.666667,7.40853056676963,4.33073334016133,1.71068730971407,"Pc Vg"
140,"24","b","o","pv",2,26666.66667,2666666.667,5.6e+07,1.44e+08,7.64969262358651,3.98898404643927,1.91770449180285,"Pc Vg"
141,"24","c","o","pv",2,26666.66667,2666666.667,34666666.6666667,190666666.666667,7.17011954332463,4.26969744957496,1.67930389166998,"Pc Vg"
142,"24","d","o","pv",2,26666.66667,2666666.667,45333333.3333333,134666666.666667,7.43838352991931,3.92197333615631,1.89659207046247,"Pc Vg"
143,"24","e","o","pv",2,26666.66667,2666666.667,62666666.6666667,169333333.333333,7.76217060701321,4.15103990577365,1.86993398840056,"Pc Vg"
144,"24","f","o","pv",2,26666.66667,2666666.667,42666666.6666667,133333333.333333,7.37775890810287,3.91202300530315,1.8859191007061,"Pc Vg"
