ID,Rep,Sp,res.sp,inv.other,res.div,inv.div,count,T0_inv,count_other,T0_other,dil,dil_fact
t17,a,SR,PC.AA,VG.OD,2,3,368,8833.333333,432,2684333.333,10000,33.33333333
t17,b,SR,PC.AA,VG.OD,2,3,316,8833.333333,286,2684333.333,10000,33.33333333
t17,c,SR,PC.AA,VG.OD,2,3,0,8833.333333,514,2684333.333,10000,33.33333333
t17,d,SR,PC.AA,VG.OD,2,3,34,8833.333333,464,2684333.333,10000,33.33333333
t17,e,SR,PC.AA,VG.OD,2,3,2,8833.333333,366,2684333.333,10000,33.33333333
t17,f,SR,PC.AA,VG.OD,2,3,12,8833.333333,298,2684333.333,10000,33.33333333
t17,a,VG,PC.AA,SR.OD,2,3,38,8833.333333,762,2684333.333,10000,33.33333333
t17,b,VG,PC.AA,SR.OD,2,3,20,8833.333333,682,2684333.333,10000,33.33333333
t17,c,VG,PC.AA,SR.OD,2,3,134,8833.333333,380,2684333.333,10000,33.33333333
t17,d,VG,PC.AA,SR.OD,2,3,200,8833.333333,298,2684333.333,10000,33.33333333
t17,e,VG,PC.AA,SR.OD,2,3,28,8833.333333,340,2684333.333,10000,33.33333333
t17,f,VG,PC.AA,SR.OD,2,3,56,8833.333333,254,2684333.333,10000,33.33333333
t17,a,OD,PC.AA,SR.VG,2,3,152,8833.333333,648,2684333.333,10000,33.33333333
t17,b,OD,PC.AA,SR.VG,2,3,128,8833.333333,574,2684333.333,10000,33.33333333
t17,c,OD,PC.AA,SR.VG,2,3,180,8833.333333,334,2684333.333,10000,33.33333333
t17,d,OD,PC.AA,SR.VG,2,3,114,8833.333333,384,2684333.333,10000,33.33333333
t17,e,OD,PC.AA,SR.VG,2,3,134,8833.333333,234,2684333.333,10000,33.33333333
t17,f,OD,PC.AA,SR.VG,2,3,118,8833.333333,192,2684333.333,10000,33.33333333
t18,a,SR,PC.VG,AA.OD,2,3,98,8833.333333,312,2684333.333,10000,33.33333333
t18,b,SR,PC.VG,AA.OD,2,3,132,8833.333333,280,2684333.333,10000,33.33333333
t18,c,SR,PC.VG,AA.OD,2,3,104,8833.333333,274,2684333.333,10000,33.33333333
t18,d,SR,PC.VG,AA.OD,2,3,0,8833.333333,296,2684333.333,10000,33.33333333
t18,e,SR,PC.VG,AA.OD,2,3,0,8833.333333,199,2684333.333,10000,33.33333333
t18,f,SR,PC.VG,AA.OD,2,3,106,8833.333333,292,2684333.333,10000,33.33333333
t18,a,AA,PC.VG,SR.OD,2,3,58,8833.333333,352,2684333.333,10000,33.33333333
t18,b,AA,PC.VG,SR.OD,2,3,52,8833.333333,360,2684333.333,10000,33.33333333
